Molecule name,SMILES,MDR1-MDCKII
ASAP-0032437,COC1=CC=CC(Cl)=C1NC(=O)N1CCC[C@H](C(N)=O)C1,2.0
ASAP-0031915,O=C(NCC(F)F)[C@H](NC1=CC2=C(C=C1Br)CNC2)C1=CC(Cl)=CC(C2CC2)=C1,0.2
ASAP-0031884,O=C(NCC(F)F)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Br)=CC2=C1NC=N2,0.5
ASAP-0031848,NC(=O)[C@H]1CCCN(C(=O)CC2=CC=CC3=C2C=CO3)C1,8.5
ASAP-0031813,CC1=CC(CC(=O)N2CCC[C@H](C(N)=O)C2)=CC=N1,0.9
ASAP-0031747,O=C(NCC(F)F)[C@H](NC1=CN=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1,0.8
ASAP-0031580,COC1=CC(Cl)=CC([C@H](NC2=CC=C3CNCC3=C2)C(=O)NCC(F)F)=C1,0.7
ASAP-0031651,CC1=CC([C@H](NC2=CC=C3CNCC3=C2)C(=O)NCC(F)F)=CC(C(F)(F)F)=C1,0.7
ASAP-0031402,O=C(NCC(F)F)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1OC=C2,2.1
ASAP-0031455,CC(C)NC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1N=C(C1=CC=CC=C1)N2,0.2
ASAP-0031351,CN(C1=CC=C2CNCC2=C1)[C@H](C(=O)NCC(F)F)C1=CC(Cl)=CC(C2CC2)=C1,2.1
ASAP-0031379,COCC1=CC(Cl)=CC([C@H](NC2=CC=C3CNCC3=C2)C(=O)NCC(F)F)=C1,1.7
ASAP-0031332,COC1=CC(C#N)=CC([C@H](NC2=CC=C3CNCC3=C2)C(=O)NCC(F)F)=C1,0.5
ASAP-0031390,O=C(NCC(F)F)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1CCC2,0.9
ASAP-0031247,N#CC1=CC=CC(C2=NC3=C(C(=O)NC4=CC=C5CNCC5=C4)C=C(F)C=C3N2)=C1,0.0
ASAP-0031237,O=C(NC1=CC=C2CNCC2=C1)C1=CC(F)=CC2=C1N=C(C1=CC=C(F)C=C1)N2,0.1
