Molecule name,SMILES,MBPB
E-0011648,c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2cn1,0.6
E-0011694,Fc1cc(-c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)cc(N2CCOCC2)c1,0.22
E-0011874,O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,0.5
E-0011880,Fc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,0.3
E-0011897,O=C(c1n[nH]c2ccccc12)N1CCC(Oc2ccc(C(F)(F)F)cc2)CC1,0.0
E-0011928,c1cncc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,8.84
E-0011943,CC(=O)Nc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,3.27
E-0011944,Fc1cc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)cc(N2CCOCC2)c1,0.38
E-0012055,COc1ccc2[nH]c3c(=O)n(CCCN(C)C4CCCCC4)cnc3c2c1,3.36
E-0012083,Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(O)C4)cc3)CC2)c2cccnc21,30.34
E-0012116,COC1CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ccccc45)CC3)cc2)C1,7.65
E-0012145,COc1ccc2[nH]c3c(=O)n(CCCN4CCCCC4)cnc3c2c1,7.7
E-0012146,CCOc1ccc2c(c1)c1ncn(CCCN(C)C3CCCCC3)c(=O)c1n2C,0.8
E-0012153,COCC1CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ncccc45)CC3)cc2)C1,75.6
E-0012159,CN1CCN(Cc2ccc(Nc3nccc(-c4cccc(F)c4)n3)cc2)CC1,0.4
E-0012160,Fc1cccc(-c2ccnc(Nc3ccc(CN4CCCCC4)cc3)n2)c1,0.3
E-0012183,Fc1cccc(-c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)c1,0.21
