rank,user,MA-RAE,R2,Spearman R,Kendall's Tau,submission time,model details
1,pebble,0.48 +/- 0.02,0.68 +/- 0.03,0.83 +/- 0.02,0.66 +/- 0.02,2026-01-19 15:41:00+00:00,https://docs.google.com/document/d/11YF4Izk_XffIvXf1LahnTICKf8rbdv9mcYl42-7yt8A/edit?usp=sharing
2,campfire-capillary,0.51 +/- 0.02,0.66 +/- 0.03,0.80 +/- 0.02,0.63 +/- 0.02,2026-01-19 22:14:47+00:00,https://github.com/campfire-capillary/OpenADMETExpansionRx/blob/main/README.md
3,overfit,0.51 +/- 0.02,0.66 +/- 0.03,0.81 +/- 0.02,0.64 +/- 0.02,2026-01-14 19:15:46+00:00,https://docs.google.com/document/d/16QIFGZRlQbZGRnP7PKODNLCRiq029fDoMiEiVFF03hE/edit?usp=sharing
4,shin-chan,0.52 +/- 0.02,0.64 +/- 0.03,0.80 +/- 0.02,0.63 +/- 0.02,2026-01-19 17:10:30+00:00,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
5,moka,0.52 +/- 0.02,0.65 +/- 0.03,0.82 +/- 0.02,0.65 +/- 0.02,2026-01-18 15:39:31+00:00,https://github.com/dahvida/openadmet-expansionrx-blind-challenge-moka
6,beetroot,0.52 +/- 0.02,0.64 +/- 0.03,0.79 +/- 0.02,0.61 +/- 0.02,2026-01-18 23:36:45+00:00,https://docs.google.com/document/d/e/2PACX-1vTcBMF2uEAu1POdvZKpA0fHCtvk1JlsolEZQgFZeOxzctH1jILjzsI2uZJL2uL9EZCwdyQ2MsQIJBfy/pub
7,rced_nvx,0.53 +/- 0.02,0.64 +/- 0.03,0.78 +/- 0.02,0.61 +/- 0.02,2026-01-19 22:31:17+00:00,https://github.com/cedenoruel/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/README.md
8,tibo,0.53 +/- 0.02,0.63 +/- 0.03,0.78 +/- 0.02,0.61 +/- 0.02,2026-01-19 22:17:48+00:00,https://github.com/Tibogoss/OpenADMET-ExpansionRx/blob/main/README.md
9,crh201,0.53 +/- 0.02,0.62 +/- 0.04,0.78 +/- 0.02,0.60 +/- 0.02,2026-01-12 15:37:18+00:00,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
10,Artichoke,0.54 +/- 0.02,0.63 +/- 0.03,0.79 +/- 0.02,0.62 +/- 0.02,2026-01-19 23:02:15+00:00,https://docs.google.com/document/d/1Mbw0uKDZsQ8QAnQO5uBAdS8x3Z-UTfMhP1fqx2pqTD8/edit?usp=sharing
11,HybridADMET,0.54 +/- 0.02,0.61 +/- 0.03,0.79 +/- 0.02,0.61 +/- 0.02,2026-01-18 23:22:04+00:00,https://docs.google.com/document/d/1WD2EVaud7UFCZk5qOZ1_sV_UcGgjlQXkSivTRppDq9Q/edit?usp=sharing
12,yanyn,0.54 +/- 0.02,0.62 +/- 0.03,0.80 +/- 0.02,0.62 +/- 0.02,2026-01-19 09:14:08+00:00,https://github.com/yan-notes/openadmet_submit_yan
13,Luna,0.54 +/- 0.02,0.62 +/- 0.03,0.79 +/- 0.02,0.62 +/- 0.02,2026-01-18 01:02:02+00:00,https://docs.google.com/document/d/1Q_eu3XAShHg4Zx7ArkWZEVy24ZckG4GO4EfS_NVG2Og/edit?usp=sharing
14,Universal15,0.55 +/- 0.02,0.61 +/- 0.03,0.80 +/- 0.02,0.63 +/- 0.02,2026-01-18 02:50:08+00:00,https://docs.google.com/document/d/1RQTj1BBOKmtHgXschFUa_ZUdz1a0juRI0eXwnnLkPZE/edit?usp=sharing
15,Gashaw,0.55 +/- 0.02,0.61 +/- 0.03,0.77 +/- 0.02,0.59 +/- 0.02,2026-01-19 21:21:00+00:00,https://docs.google.com/document/d/1-CgaIBOqN_156l_J2Ujx0tDy7OOq60k1YD0RJTqkG80/edit?usp=sharing
