final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
1,overfit,0.2723 ± 0.0066,0.5794 ± 0.0104,0.5231 ± 0.0167,0.8140 ± 0.0076,0.6052 ± 0.0079,https://docs.google.com/document/d/16QIFGZRlQbZGRnP7PKODNLCRiq029fDoMiEiVFF03hE/edit?usp=sharing
2,pebble,0.2893 ± 0.0069,0.6155 ± 0.0131,0.4629 ± 0.0203,0.7658 ± 0.0113,0.5691 ± 0.0106,https://docs.google.com/document/d/11YF4Izk_XffIvXf1LahnTICKf8rbdv9mcYl42-7yt8A/edit?usp=sharing
3,tibo,0.2965 ± 0.0069,0.6309 ± 0.0141,0.4429 ± 0.0246,0.7612 ± 0.0120,0.5677 ± 0.0107,https://github.com/Tibogoss/OpenADMET-ExpansionRx/blob/main/README.md
4,rced_nvx,0.2968 ± 0.0069,0.6315 ± 0.0145,0.4404 ± 0.0259,0.7433 ± 0.0127,0.5516 ± 0.0111,https://github.com/cedenoruel/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/README.md
5,beetroot,0.3042 ± 0.0072,0.6471 ± 0.0145,0.4110 ± 0.0252,0.7381 ± 0.0125,0.5443 ± 0.0110,https://docs.google.com/document/d/e/2PACX-1vTcBMF2uEAu1POdvZKpA0fHCtvk1JlsolEZQgFZeOxzctH1jILjzsI2uZJL2uL9EZCwdyQ2MsQIJBfy/pub
6,crh201,0.3071 ± 0.0076,0.6533 ± 0.0169,0.3827 ± 0.0311,0.7101 ± 0.0138,0.5208 ± 0.0118,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
7,UncertainTea,0.3100 ± 0.0072,0.6596 ± 0.0133,0.3845 ± 0.0237,0.7677 ± 0.0118,0.5754 ± 0.0106,https://github.com/un-certain-tea/OpenADMET-ExpansionRx-Challenge
8,HybridADMET,0.3114 ± 0.0073,0.6626 ± 0.0136,0.3768 ± 0.0212,0.7656 ± 0.0110,0.5682 ± 0.0099,https://docs.google.com/document/d/1WD2EVaud7UFCZk5qOZ1_sV_UcGgjlQXkSivTRppDq9Q/edit?usp=sharing
9,pequqa,0.3128 ± 0.0076,0.6655 ± 0.0151,0.3738 ± 0.0281,0.6635 ± 0.0157,0.4808 ± 0.0130,https://docs.google.com/document/d/12ZIbady_SwV9ICSvMWcKBPoGAZxVbn5_f-xpMaK6iJA/edit?usp=sharing
10,shin-chan,0.3131 ± 0.0078,0.6660 ± 0.0136,0.3512 ± 0.0225,0.7485 ± 0.0131,0.5616 ± 0.0116,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
11,Gashaw,0.3148 ± 0.0067,0.6698 ± 0.0109,0.4296 ± 0.0155,0.7235 ± 0.0124,0.5246 ± 0.0108,https://docs.google.com/document/d/1-CgaIBOqN_156l_J2Ujx0tDy7OOq60k1YD0RJTqkG80/edit?usp=sharing
12,moka,0.3163 ± 0.0073,0.6730 ± 0.0132,0.3669 ± 0.0210,0.7515 ± 0.0124,0.5595 ± 0.0109,https://github.com/dahvida/openadmet-expansionrx-blind-challenge-moka
13,martin,0.3173 ± 0.0079,0.6750 ± 0.0178,0.3355 ± 0.0336,0.6754 ± 0.0148,0.4909 ± 0.0123,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
14,chundu05,0.3188 ± 0.0073,0.6784 ± 0.0153,0.3512 ± 0.0286,0.6931 ± 0.0144,0.5064 ± 0.0121,https://docs.google.com/document/d/1DMiIxDK20FzTZgmBoZsy_FQw0iJGHhZYAhiNAc_SV_Q/edit?tab=t.0#heading=h.s2yx44dt2a2z
15,Shorku,0.3195 ± 0.0072,0.6796 ± 0.0123,0.3732 ± 0.0198,0.7569 ± 0.0118,0.5620 ± 0.0106,https://github.com/Shorku/OpenADMET_ExpansionRx_Blind_Challenge
16,okidoki,0.3227 ± 0.0079,0.6865 ± 0.0128,0.3133 ± 0.0212,0.7477 ± 0.0114,0.5464 ± 0.0102,https://docs.google.com/document/d/1yD6ZppdthvohCvc1fYvUi57Jsxu1XS5nuRYwHEGblp4/edit?tab=t.0
17,Artichoke,0.3252 ± 0.0079,0.6918 ± 0.0121,0.3027 ± 0.0219,0.6977 ± 0.0127,0.5028 ± 0.0108,https://docs.google.com/document/d/1Mbw0uKDZsQ8QAnQO5uBAdS8x3Z-UTfMhP1fqx2pqTD8/edit?usp=sharing
18,WakuwakuADMET,0.3252 ± 0.0077,0.6920 ± 0.0153,0.3410 ± 0.0269,0.7025 ± 0.0138,0.5078 ± 0.0118,https://huggingface.co/WakuwakuADMET/OpenADMET_ExpansionRx_Challenge_Methodology_Report
19,campfire-capillary,0.3260 ± 0.0072,0.6936 ± 0.0111,0.3617 ± 0.0171,0.6852 ± 0.0138,0.4909 ± 0.0113,https://github.com/campfire-capillary/OpenADMETExpansionRx/blob/main/README.md
20,combo,0.3269 ± 0.0080,0.6954 ± 0.0118,0.3101 ± 0.0192,0.7162 ± 0.0126,0.5167 ± 0.0110,https://docs.google.com/document/d/1oWa1P6HHcntg8GSvAhLG8e576mYATK3HwOhCsVihWx8/edit?usp=drivesdk
