final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
1,pebble,0.1911 ± 0.0042,0.5343 ± 0.0148,0.6175 ± 0.0198,0.8075 ± 0.0104,0.6190 ± 0.0103,https://docs.google.com/document/d/11YF4Izk_XffIvXf1LahnTICKf8rbdv9mcYl42-7yt8A/edit?usp=sharing
2,overfit,0.1935 ± 0.0036,0.5410 ± 0.0126,0.6569 ± 0.0143,0.8164 ± 0.0091,0.6231 ± 0.0094,https://docs.google.com/document/d/16QIFGZRlQbZGRnP7PKODNLCRiq029fDoMiEiVFF03hE/edit?usp=sharing
3,beetroot,0.2148 ± 0.0045,0.6007 ± 0.0152,0.5327 ± 0.0210,0.7414 ± 0.0131,0.5558 ± 0.0120,https://docs.google.com/document/d/e/2PACX-1vTcBMF2uEAu1POdvZKpA0fHCtvk1JlsolEZQgFZeOxzctH1jILjzsI2uZJL2uL9EZCwdyQ2MsQIJBfy/pub
4,rced_nvx,0.2177 ± 0.0044,0.6089 ± 0.0147,0.5410 ± 0.0191,0.7414 ± 0.0129,0.5528 ± 0.0118,https://github.com/cedenoruel/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/README.md
5,tibo,0.2178 ± 0.0044,0.6091 ± 0.0147,0.5419 ± 0.0191,0.7420 ± 0.0128,0.5533 ± 0.0118,https://github.com/Tibogoss/OpenADMET-ExpansionRx/blob/main/README.md
6,nrosa1,0.2186 ± 0.0045,0.6112 ± 0.0163,0.5254 ± 0.0229,0.7646 ± 0.0123,0.5763 ± 0.0116,https://github.com/nrosa/openadmet-erx-challenge/blob/main/model_report.md
7,aglisman,0.2205 ± 0.0046,0.6167 ± 0.0160,0.5197 ± 0.0221,0.7536 ± 0.0125,0.5645 ± 0.0117,https://github.com/alec-glisman/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/MODEL_CARD.md
8,robusta,0.2237 ± 0.0046,0.6254 ± 0.0160,0.5053 ± 0.0232,0.7410 ± 0.0133,0.5532 ± 0.0120,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
9,tmp1234,0.2250 ± 0.0045,0.6291 ± 0.0153,0.5169 ± 0.0208,0.7369 ± 0.0132,0.5489 ± 0.0120,https://docs.google.com/document/d/e/2PACX-1vQ1OAnGO4ZvVFwiiSUmFvaBfk8Hjetun_yDboslS6-p0GglV3vAgV1gZ1fJT0g1PtRlXcuS50kodogE/pub
10,crh201,0.2256 ± 0.0047,0.6309 ± 0.0166,0.4800 ± 0.0238,0.7223 ± 0.0138,0.5377 ± 0.0123,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
11,martin,0.2256 ± 0.0047,0.6309 ± 0.0166,0.4800 ± 0.0238,0.7223 ± 0.0138,0.5377 ± 0.0123,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
12,shin-chan,0.2268 ± 0.0046,0.6343 ± 0.0149,0.5078 ± 0.0215,0.7204 ± 0.0139,0.5343 ± 0.0123,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
13,chundu05,0.2281 ± 0.0046,0.6379 ± 0.0155,0.4932 ± 0.0217,0.7183 ± 0.0135,0.5311 ± 0.0120,https://docs.google.com/document/d/1DMiIxDK20FzTZgmBoZsy_FQw0iJGHhZYAhiNAc_SV_Q/edit?tab=t.0#heading=h.s2yx44dt2a2z
14,Shorku,0.2281 ± 0.0045,0.6379 ± 0.0145,0.5063 ± 0.0193,0.7057 ± 0.0142,0.5221 ± 0.0126,https://github.com/Shorku/OpenADMET_ExpansionRx_Blind_Challenge
