final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
1,Universal15,0.2485 ± 0.0073,0.6778 ± 0.0213,0.5199 ± 0.0265,0.7253 ± 0.0194,0.5329 ± 0.0172,https://docs.google.com/document/d/1RQTj1BBOKmtHgXschFUa_ZUdz1a0juRI0eXwnnLkPZE/edit?usp=sharing
2,moka,0.2487 ± 0.0073,0.6786 ± 0.0235,0.5132 ± 0.0314,0.7360 ± 0.0189,0.5464 ± 0.0169,https://github.com/dahvida/openadmet-expansionrx-blind-challenge-moka
3,pebble,0.2497 ± 0.0076,0.6812 ± 0.0220,0.4909 ± 0.0289,0.7116 ± 0.0200,0.5240 ± 0.0174,https://docs.google.com/document/d/11YF4Izk_XffIvXf1LahnTICKf8rbdv9mcYl42-7yt8A/edit?usp=sharing
4,ZaZdrowie,0.2529 ± 0.0083,0.6899 ± 0.0215,0.4746 ± 0.0305,0.6981 ± 0.0219,0.5128 ± 0.0187,https://gist.github.com/vchupakhinslp/4eac9f483b2b55168ed4f0d10d92455c
5,overfit,0.2533 ± 0.0078,0.6910 ± 0.0230,0.4844 ± 0.0315,0.7068 ± 0.0217,0.5198 ± 0.0187,https://docs.google.com/document/d/16QIFGZRlQbZGRnP7PKODNLCRiq029fDoMiEiVFF03hE/edit?usp=sharing
6,HybridADMET,0.2538 ± 0.0077,0.6924 ± 0.0216,0.4824 ± 0.0285,0.7121 ± 0.0195,0.5220 ± 0.0170,https://docs.google.com/document/d/1WD2EVaud7UFCZk5qOZ1_sV_UcGgjlQXkSivTRppDq9Q/edit?usp=sharing
7,tibo,0.2582 ± 0.0081,0.7042 ± 0.0219,0.4530 ± 0.0295,0.6700 ± 0.0224,0.4887 ± 0.0188,https://github.com/Tibogoss/OpenADMET-ExpansionRx/blob/main/README.md
8,rced_nvx,0.2583 ± 0.0081,0.7046 ± 0.0221,0.4522 ± 0.0295,0.6727 ± 0.0222,0.4907 ± 0.0187,https://github.com/cedenoruel/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/README.md
9,campfire-capillary,0.2635 ± 0.0078,0.7188 ± 0.0220,0.4511 ± 0.0310,0.6740 ± 0.0230,0.4931 ± 0.0193,https://github.com/campfire-capillary/OpenADMETExpansionRx/blob/main/README.md
10,UncertainTea,0.2638 ± 0.0080,0.7197 ± 0.0224,0.4380 ± 0.0293,0.6615 ± 0.0226,0.4801 ± 0.0188,https://github.com/un-certain-tea/OpenADMET-ExpansionRx-Challenge
11,Shorku,0.2656 ± 0.0086,0.7245 ± 0.0238,0.4094 ± 0.0330,0.6681 ± 0.0226,0.4854 ± 0.0191,https://github.com/Shorku/OpenADMET_ExpansionRx_Blind_Challenge
12,yanyn,0.2693 ± 0.0081,0.7347 ± 0.0234,0.4197 ± 0.0320,0.6428 ± 0.0236,0.4649 ± 0.0195,https://github.com/yan-notes/openadmet_submit_yan
13,JacksonBurns,0.2693 ± 0.0082,0.7347 ± 0.0235,0.4107 ± 0.0339,0.6642 ± 0.0219,0.4828 ± 0.0182,https://github.com/JacksonBurns/openadmet_expansionrx/tree/f8efff6e739555337043574af3657cbe7af3e478
14,Proper,0.2699 ± 0.0082,0.7364 ± 0.0221,0.4166 ± 0.0316,0.6427 ± 0.0247,0.4652 ± 0.0202,https://docs.google.com/document/d/103DSkl24b98QG8McQmDVck-3n66LbIPml6r8ND_NldM/edit?usp=sharing
15,c-test,0.2702 ± 0.0080,0.7370 ± 0.0237,0.4197 ± 0.0329,0.6502 ± 0.0234,0.4715 ± 0.0193,https://docs.google.com/document/d/1-JpjWNB5aB2ShLqFGz7Yhf7g-lrMqXV3PHoufH3tho8/edit?tab=t.0
16,pequqa,0.2702 ± 0.0085,0.7371 ± 0.0217,0.3905 ± 0.0338,0.6563 ± 0.0227,0.4774 ± 0.0184,https://docs.google.com/document/d/12ZIbady_SwV9ICSvMWcKBPoGAZxVbn5_f-xpMaK6iJA/edit?usp=sharing
17,arabica,0.2710 ± 0.0082,0.7394 ± 0.0256,0.3989 ± 0.0379,0.6578 ± 0.0240,0.4812 ± 0.0199,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
18,median3,0.2712 ± 0.0081,0.7399 ± 0.0235,0.4076 ± 0.0330,0.6480 ± 0.0228,0.4680 ± 0.0188,https://docs.google.com/document/d/1TC8rbtKGD0wOh3CmvKCnoz_Lkflniip9-4IgKkBPOY8/edit?usp=sharing
19,massazahdeh,0.2716 ± 0.0081,0.7408 ± 0.0219,0.4120 ± 0.0322,0.6621 ± 0.0221,0.4797 ± 0.0183,https://huggingface.co/spaces/openadmet/OpenADMET-ExpansionRx-Challenge
20,briford,0.2721 ± 0.0083,0.7423 ± 0.0225,0.3852 ± 0.0336,0.6424 ± 0.0239,0.4680 ± 0.0194,https://github.com/SuperCowPowers/workbench/tree/main/open_admet
21,echo,0.2721 ± 0.0081,0.7424 ± 0.0241,0.4095 ± 0.0341,0.6464 ± 0.0238,0.4690 ± 0.0196,https://docs.google.com/document/d/1nUIr9-EZc401HPdzErG6YnzW3BVy7I2CHUXqaIELLaY/edit?usp=sharing
22,Gashaw,0.2726 ± 0.0084,0.7436 ± 0.0231,0.3957 ± 0.0326,0.6393 ± 0.0236,0.4617 ± 0.0192,https://docs.google.com/document/d/1-CgaIBOqN_156l_J2Ujx0tDy7OOq60k1YD0RJTqkG80/edit?usp=sharing
23,beardy-polonium,0.2732 ± 0.0080,0.7453 ± 0.0238,0.4055 ± 0.0340,0.6642 ± 0.0224,0.4829 ± 0.0186,https://drive.google.com/file/d/163hHzi_YIoM26sEFSTQ3Wo-2MzInuHeM/view?usp=drive_link
24,nrosa1,0.2732 ± 0.0086,0.7454 ± 0.0255,0.3835 ± 0.0390,0.6405 ± 0.0252,0.4675 ± 0.0206,https://github.com/nrosa/openadmet-erx-challenge/blob/main/model_report.md
25,shin-chan,0.2737 ± 0.0082,0.7468 ± 0.0258,0.3956 ± 0.0385,0.6830 ± 0.0227,0.5028 ± 0.0190,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
26,Na123,0.2750 ± 0.0082,0.7504 ± 0.0247,0.3938 ± 0.0354,0.6379 ± 0.0236,0.4603 ± 0.0194,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?usp=sharing
27,Ensem,0.2750 ± 0.0082,0.7504 ± 0.0247,0.3938 ± 0.0354,0.6379 ± 0.0236,0.4603 ± 0.0194,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?tab=t.0
28,Artichoke,0.2757 ± 0.0088,0.7520 ± 0.0250,0.3721 ± 0.0364,0.6324 ± 0.0245,0.4581 ± 0.0202,https://docs.google.com/document/d/1Mbw0uKDZsQ8QAnQO5uBAdS8x3Z-UTfMhP1fqx2pqTD8/edit?usp=sharing
29,molairity,0.2758 ± 0.0085,0.7525 ± 0.0237,0.3752 ± 0.0352,0.6463 ± 0.0238,0.4672 ± 0.0193,https://docs.google.com/document/d/1gszarZfGCUkn6ZyPhTazd0C3fyjuM3d2vcYY5EW7Lxw/edit?usp=sharing
30,okidoki,0.2760 ± 0.0083,0.7529 ± 0.0230,0.3761 ± 0.0353,0.6408 ± 0.0232,0.4664 ± 0.0187,https://docs.google.com/document/d/1yD6ZppdthvohCvc1fYvUi57Jsxu1XS5nuRYwHEGblp4/edit?tab=t.0
31,rappleton,0.2768 ± 0.0086,0.7549 ± 0.0222,0.3727 ± 0.0336,0.6202 ± 0.0255,0.4487 ± 0.0205,https://github.com/R-applet/ADMET_Challenge_2025/tree/main
32,robusta,0.2768 ± 0.0082,0.7551 ± 0.0244,0.3807 ± 0.0372,0.6532 ± 0.0234,0.4748 ± 0.0192,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
33,kermt-t,0.2773 ± 0.0083,0.7564 ± 0.0253,0.3864 ± 0.0371,0.6421 ± 0.0241,0.4668 ± 0.0197,https://docs.google.com/document/d/1EZ99fCvqHSbhJxk2tqUKNOcVmi-iDENwvK1zuVqGLpc/edit?usp=sharing
