final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
1,overfit,0.2708 ± 0.0062,0.4718 ± 0.0124,0.6807 ± 0.0159,0.6354 ± 0.0142,0.4529 ± 0.0117,https://docs.google.com/document/d/16QIFGZRlQbZGRnP7PKODNLCRiq029fDoMiEiVFF03hE/edit?usp=sharing
2,pebble,0.2729 ± 0.0074,0.4754 ± 0.0155,0.5939 ± 0.0236,0.6610 ± 0.0134,0.4747 ± 0.0113,https://docs.google.com/document/d/11YF4Izk_XffIvXf1LahnTICKf8rbdv9mcYl42-7yt8A/edit?usp=sharing
3,moka,0.2734 ± 0.0064,0.4763 ± 0.0119,0.6523 ± 0.0159,0.6687 ± 0.0132,0.4815 ± 0.0111,https://github.com/dahvida/openadmet-expansionrx-blind-challenge-moka
4,arabica,0.2862 ± 0.0075,0.4986 ± 0.0127,0.5678 ± 0.0202,0.6082 ± 0.0150,0.4300 ± 0.0120,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
5,temal,0.2886 ± 0.0069,0.5027 ± 0.0138,0.6101 ± 0.0191,0.6489 ± 0.0139,0.4648 ± 0.0116,https://docs.google.com/document/d/1IqyTGGB2FLgYpptyst0XdTmZCHMETdX3/edit?usp=sharing&ouid=109801295390196144877&rtpof=true&sd=true
6,liberica,0.2915 ± 0.0075,0.5078 ± 0.0122,0.5549 ± 0.0197,0.6178 ± 0.0144,0.4362 ± 0.0115,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
7,shin-chan,0.2940 ± 0.0070,0.5121 ± 0.0159,0.5994 ± 0.0221,0.6513 ± 0.0135,0.4663 ± 0.0112,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
8,tibo,0.2982 ± 0.0075,0.5195 ± 0.0145,0.5618 ± 0.0210,0.6178 ± 0.0146,0.4404 ± 0.0118,https://github.com/Tibogoss/OpenADMET-ExpansionRx/blob/main/README.md
9,rced_nvx,0.2982 ± 0.0075,0.5195 ± 0.0145,0.5618 ± 0.0210,0.6177 ± 0.0146,0.4402 ± 0.0118,https://github.com/cedenoruel/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/README.md
10,campfire-capillary,0.2995 ± 0.0072,0.5218 ± 0.0154,0.5688 ± 0.0225,0.6355 ± 0.0140,0.4540 ± 0.0115,https://github.com/campfire-capillary/OpenADMETExpansionRx/blob/main/README.md
11,mechaman,0.3019 ± 0.0082,0.5259 ± 0.0147,0.4823 ± 0.0247,0.5280 ± 0.0171,0.3645 ± 0.0131,https://docs.google.com/document/d/1AKNCdPrxqh9QTG1RwOPitm7AUvUHLNl341EzFl9t4o8/edit?usp=sharing
12,tmp1234,0.3035 ± 0.0069,0.5287 ± 0.0157,0.5899 ± 0.0233,0.6395 ± 0.0139,0.4558 ± 0.0114,https://docs.google.com/document/d/e/2PACX-1vQ1OAnGO4ZvVFwiiSUmFvaBfk8Hjetun_yDboslS6-p0GglV3vAgV1gZ1fJT0g1PtRlXcuS50kodogE/pub
13,HybridADMET,0.3071 ± 0.0077,0.5349 ± 0.0131,0.5348 ± 0.0212,0.5824 ± 0.0154,0.4108 ± 0.0122,https://docs.google.com/document/d/1WD2EVaud7UFCZk5qOZ1_sV_UcGgjlQXkSivTRppDq9Q/edit?usp=sharing
14,crh201,0.3074 ± 0.0072,0.5355 ± 0.0136,0.5672 ± 0.0197,0.5988 ± 0.0151,0.4209 ± 0.0121,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
15,beetroot,0.3074 ± 0.0072,0.5355 ± 0.0136,0.5672 ± 0.0197,0.5988 ± 0.0151,0.4209 ± 0.0121,https://docs.google.com/document/d/e/2PACX-1vTcBMF2uEAu1POdvZKpA0fHCtvk1JlsolEZQgFZeOxzctH1jILjzsI2uZJL2uL9EZCwdyQ2MsQIJBfy/pub
16,WakuwakuADMET,0.3084 ± 0.0067,0.5373 ± 0.0153,0.5940 ± 0.0210,0.6332 ± 0.0146,0.4525 ± 0.0120,https://huggingface.co/WakuwakuADMET/OpenADMET_ExpansionRx_Challenge_Methodology_Report
17,chiliflake,0.3121 ± 0.0070,0.5437 ± 0.0138,0.5690 ± 0.0197,0.6048 ± 0.0146,0.4251 ± 0.0117,https://docs.google.com/document/d/e/2PACX-1vR3i2EDTBjTZRKv2EIU0HJeCZRVPHpRk4LQ_LKuexDPphwveWyVCLWNZECGrW7KXPL9ZqdGNApNWh37/pub
18,Artichoke,0.3123 ± 0.0079,0.5441 ± 0.0158,0.4970 ± 0.0246,0.5991 ± 0.0149,0.4351 ± 0.0121,https://docs.google.com/document/d/1Mbw0uKDZsQ8QAnQO5uBAdS8x3Z-UTfMhP1fqx2pqTD8/edit?usp=sharing
19,Proper,0.3133 ± 0.0073,0.5458 ± 0.0116,0.5468 ± 0.0182,0.6190 ± 0.0142,0.4352 ± 0.0115,https://docs.google.com/document/d/103DSkl24b98QG8McQmDVck-3n66LbIPml6r8ND_NldM/edit?usp=sharing
20,Ensem,0.3151 ± 0.0064,0.5490 ± 0.0152,0.6025 ± 0.0194,0.6402 ± 0.0137,0.4547 ± 0.0114,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?tab=t.0
21,molairity,0.3164 ± 0.0072,0.5512 ± 0.0148,0.5520 ± 0.0208,0.6192 ± 0.0142,0.4386 ± 0.0115,https://docs.google.com/document/d/1gszarZfGCUkn6ZyPhTazd0C3fyjuM3d2vcYY5EW7Lxw/edit?usp=sharing
22,JacksonBurns,0.3187 ± 0.0071,0.5552 ± 0.0161,0.5674 ± 0.0226,0.6408 ± 0.0135,0.4560 ± 0.0111,https://github.com/JacksonBurns/openadmet_expansionrx/tree/f8efff6e739555337043574af3657cbe7af3e478
23,echo,0.3199 ± 0.0067,0.5574 ± 0.0163,0.5856 ± 0.0216,0.6371 ± 0.0140,0.4528 ± 0.0116,https://docs.google.com/document/d/1nUIr9-EZc401HPdzErG6YnzW3BVy7I2CHUXqaIELLaY/edit?usp=sharing
24,interstellar-explorer,0.3208 ± 0.0073,0.5588 ± 0.0143,0.5426 ± 0.0216,0.5947 ± 0.0149,0.4195 ± 0.0119,https://docs.google.com/document/d/1cplc30gDCRcweL39KcN27ANOYPi9sZD_tAtfnMwgoeU/edit?usp=sharing
25,Na123,0.3219 ± 0.0067,0.5609 ± 0.0164,0.5836 ± 0.0216,0.6395 ± 0.0138,0.4552 ± 0.0115,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?usp=sharing
26,c-test,0.3227 ± 0.0070,0.5623 ± 0.0166,0.5624 ± 0.0234,0.6280 ± 0.0141,0.4444 ± 0.0116,https://docs.google.com/document/d/1-JpjWNB5aB2ShLqFGz7Yhf7g-lrMqXV3PHoufH3tho8/edit?tab=t.0
