final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
1,pebble,0.2820 ± 0.0059,0.3473 ± 0.0081,0.8560 ± 0.0089,0.9365 ± 0.0040,0.8011 ± 0.0054,https://docs.google.com/document/d/11YF4Izk_XffIvXf1LahnTICKf8rbdv9mcYl42-7yt8A/edit?usp=sharing
2,moka,0.2976 ± 0.0055,0.3664 ± 0.0078,0.8534 ± 0.0075,0.9396 ± 0.0038,0.8054 ± 0.0050,https://github.com/dahvida/openadmet-expansionrx-blind-challenge-moka
3,shin-chan,0.3095 ± 0.0059,0.3811 ± 0.0092,0.8355 ± 0.0096,0.9200 ± 0.0049,0.7748 ± 0.0060,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
4,campfire-capillary,0.3134 ± 0.0062,0.3859 ± 0.0091,0.8276 ± 0.0095,0.9142 ± 0.0049,0.7668 ± 0.0062,https://github.com/campfire-capillary/OpenADMETExpansionRx/blob/main/README.md
5,HybridADMET,0.3166 ± 0.0064,0.3898 ± 0.0083,0.8209 ± 0.0090,0.9138 ± 0.0050,0.7652 ± 0.0063,https://docs.google.com/document/d/1WD2EVaud7UFCZk5qOZ1_sV_UcGgjlQXkSivTRppDq9Q/edit?usp=sharing
6,crh201,0.3195 ± 0.0059,0.3934 ± 0.0091,0.8277 ± 0.0090,0.9154 ± 0.0046,0.7649 ± 0.0059,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
7,theZone,0.3200 ± 0.0062,0.3940 ± 0.0085,0.8232 ± 0.0090,0.9095 ± 0.0052,0.7596 ± 0.0064,https://drive.google.com/file/d/12OcLMCjM2S1Wz8yuLXZ3on_xwxGMyg3x/view?usp=drive_link
8,tmp1234,0.3223 ± 0.0064,0.3969 ± 0.0092,0.8165 ± 0.0101,0.9114 ± 0.0055,0.7668 ± 0.0065,https://docs.google.com/document/d/e/2PACX-1vQ1OAnGO4ZvVFwiiSUmFvaBfk8Hjetun_yDboslS6-p0GglV3vAgV1gZ1fJT0g1PtRlXcuS50kodogE/pub
9,beetroot,0.3252 ± 0.0060,0.4005 ± 0.0094,0.8208 ± 0.0095,0.9129 ± 0.0048,0.7614 ± 0.0061,https://docs.google.com/document/d/e/2PACX-1vTcBMF2uEAu1POdvZKpA0fHCtvk1JlsolEZQgFZeOxzctH1jILjzsI2uZJL2uL9EZCwdyQ2MsQIJBfy/pub
10,molairity,0.3267 ± 0.0064,0.4023 ± 0.0086,0.8148 ± 0.0092,0.9067 ± 0.0052,0.7523 ± 0.0063,https://docs.google.com/document/d/1gszarZfGCUkn6ZyPhTazd0C3fyjuM3d2vcYY5EW7Lxw/edit?usp=sharing
11,Ensem,0.3323 ± 0.0066,0.4092 ± 0.0093,0.8048 ± 0.0099,0.9050 ± 0.0053,0.7526 ± 0.0064,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?tab=t.0
