final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
1,pebble,0.1097 ± 0.0058,0.3129 ± 0.0173,0.8290 ± 0.0269,0.9110 ± 0.0155,0.7657 ± 0.0158,https://docs.google.com/document/d/11YF4Izk_XffIvXf1LahnTICKf8rbdv9mcYl42-7yt8A/edit?usp=sharing
2,moka,0.1154 ± 0.0055,0.3293 ± 0.0161,0.8298 ± 0.0259,0.9135 ± 0.0153,0.7615 ± 0.0141,https://github.com/dahvida/openadmet-expansionrx-blind-challenge-moka
3,arabica,0.1235 ± 0.0061,0.3525 ± 0.0186,0.7975 ± 0.0280,0.8902 ± 0.0160,0.7301 ± 0.0158,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
4,temal,0.1247 ± 0.0060,0.3557 ± 0.0181,0.7993 ± 0.0237,0.8930 ± 0.0138,0.7312 ± 0.0157,https://docs.google.com/document/d/1IqyTGGB2FLgYpptyst0XdTmZCHMETdX3/edit?usp=sharing&ouid=109801295390196144877&rtpof=true&sd=true
5,HybridADMET,0.1270 ± 0.0061,0.3622 ± 0.0180,0.7928 ± 0.0246,0.8878 ± 0.0146,0.7254 ± 0.0162,https://docs.google.com/document/d/1WD2EVaud7UFCZk5qOZ1_sV_UcGgjlQXkSivTRppDq9Q/edit?usp=sharing
6,overfit,0.1274 ± 0.0059,0.3637 ± 0.0185,0.8008 ± 0.0245,0.8976 ± 0.0137,0.7334 ± 0.0155,https://docs.google.com/document/d/16QIFGZRlQbZGRnP7PKODNLCRiq029fDoMiEiVFF03hE/edit?usp=sharing
7,shin-chan,0.1275 ± 0.0060,0.3637 ± 0.0188,0.7993 ± 0.0262,0.8856 ± 0.0150,0.7140 ± 0.0156,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
8,liberica,0.1275 ± 0.0060,0.3639 ± 0.0187,0.7930 ± 0.0257,0.8918 ± 0.0142,0.7293 ± 0.0155,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
9,beardy-polonium,0.1286 ± 0.0061,0.3669 ± 0.0185,0.7886 ± 0.0249,0.8888 ± 0.0148,0.7289 ± 0.0161,https://drive.google.com/file/d/163hHzi_YIoM26sEFSTQ3Wo-2MzInuHeM/view?usp=drive_link
10,robusta,0.1291 ± 0.0063,0.3683 ± 0.0183,0.7775 ± 0.0279,0.8873 ± 0.0167,0.7314 ± 0.0168,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
11,Artichoke,0.1299 ± 0.0059,0.3706 ± 0.0170,0.7929 ± 0.0218,0.8935 ± 0.0132,0.7258 ± 0.0148,https://docs.google.com/document/d/1Mbw0uKDZsQ8QAnQO5uBAdS8x3Z-UTfMhP1fqx2pqTD8/edit?usp=sharing
12,echo,0.1299 ± 0.0060,0.3707 ± 0.0181,0.7852 ± 0.0241,0.8904 ± 0.0142,0.7298 ± 0.0159,https://docs.google.com/document/d/1nUIr9-EZc401HPdzErG6YnzW3BVy7I2CHUXqaIELLaY/edit?usp=sharing
13,Proper,0.1310 ± 0.0062,0.3736 ± 0.0179,0.7846 ± 0.0252,0.8870 ± 0.0155,0.7261 ± 0.0164,https://docs.google.com/document/d/103DSkl24b98QG8McQmDVck-3n66LbIPml6r8ND_NldM/edit?usp=sharing
14,yanyn,0.1326 ± 0.0061,0.3783 ± 0.0177,0.7802 ± 0.0241,0.8895 ± 0.0145,0.7286 ± 0.0159,https://github.com/yan-notes/openadmet_submit_yan
15,campfire-capillary,0.1326 ± 0.0062,0.3785 ± 0.0196,0.7749 ± 0.0256,0.8787 ± 0.0152,0.7142 ± 0.0165,https://github.com/campfire-capillary/OpenADMETExpansionRx/blob/main/README.md
16,c-test,0.1331 ± 0.0062,0.3798 ± 0.0178,0.7779 ± 0.0243,0.8895 ± 0.0145,0.7287 ± 0.0159,https://docs.google.com/document/d/1-JpjWNB5aB2ShLqFGz7Yhf7g-lrMqXV3PHoufH3tho8/edit?tab=t.0
17,interstellar-explorer,0.1337 ± 0.0063,0.3817 ± 0.0203,0.7674 ± 0.0266,0.8798 ± 0.0146,0.7147 ± 0.0164,https://docs.google.com/document/d/1cplc30gDCRcweL39KcN27ANOYPi9sZD_tAtfnMwgoeU/edit?usp=sharing
18,tibo,0.1343 ± 0.0063,0.3830 ± 0.0182,0.7748 ± 0.0263,0.8860 ± 0.0166,0.7269 ± 0.0167,https://github.com/Tibogoss/OpenADMET-ExpansionRx/blob/main/README.md
19,rced_nvx,0.1346 ± 0.0063,0.3841 ± 0.0178,0.7768 ± 0.0256,0.8894 ± 0.0164,0.7315 ± 0.0164,https://github.com/cedenoruel/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/README.md
20,Hydra,0.1347 ± 0.0062,0.3844 ± 0.0198,0.7706 ± 0.0259,0.8815 ± 0.0142,0.7153 ± 0.0161,https://docs.google.com/document/d/1Jbr7aBBScvanrqfzYsnE1m-a3fJxgv_BIcfDQWls6BQ/edit?usp=sharing
21,chiliflake,0.1367 ± 0.0058,0.3900 ± 0.0168,0.7832 ± 0.0213,0.8852 ± 0.0126,0.7106 ± 0.0148,https://docs.google.com/document/d/e/2PACX-1vR3i2EDTBjTZRKv2EIU0HJeCZRVPHpRk4LQ_LKuexDPphwveWyVCLWNZECGrW7KXPL9ZqdGNApNWh37/pub
22,Ensem,0.1369 ± 0.0063,0.3905 ± 0.0189,0.7682 ± 0.0245,0.8888 ± 0.0142,0.7260 ± 0.0158,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?tab=t.0
23,Na123,0.1369 ± 0.0063,0.3905 ± 0.0189,0.7682 ± 0.0245,0.8888 ± 0.0142,0.7260 ± 0.0158,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?usp=sharing
24,kermt-t,0.1369 ± 0.0065,0.3906 ± 0.0187,0.7628 ± 0.0263,0.8812 ± 0.0158,0.7174 ± 0.0166,https://docs.google.com/document/d/1EZ99fCvqHSbhJxk2tqUKNOcVmi-iDENwvK1zuVqGLpc/edit?usp=sharing
25,mechaman,0.1371 ± 0.0066,0.3911 ± 0.0206,0.7507 ± 0.0266,0.8665 ± 0.0148,0.6945 ± 0.0165,https://docs.google.com/document/d/1AKNCdPrxqh9QTG1RwOPitm7AUvUHLNl341EzFl9t4o8/edit?usp=sharing
26,nrosa1,0.1389 ± 0.0066,0.3962 ± 0.0185,0.7561 ± 0.0300,0.8930 ± 0.0172,0.7415 ± 0.0165,https://github.com/nrosa/openadmet-erx-challenge/blob/main/model_report.md
27,UncertainTea,0.1415 ± 0.0065,0.4038 ± 0.0185,0.7585 ± 0.0265,0.8826 ± 0.0171,0.7204 ± 0.0170,https://github.com/un-certain-tea/OpenADMET-ExpansionRx-Challenge
28,briford,0.1420 ± 0.0070,0.4052 ± 0.0204,0.7331 ± 0.0307,0.8737 ± 0.0176,0.7141 ± 0.0177,https://github.com/SuperCowPowers/workbench/tree/main/open_admet
29,Gashaw,0.1436 ± 0.0068,0.4096 ± 0.0199,0.7329 ± 0.0310,0.8568 ± 0.0196,0.6945 ± 0.0189,https://docs.google.com/document/d/1-CgaIBOqN_156l_J2Ujx0tDy7OOq60k1YD0RJTqkG80/edit?usp=sharing
30,madie31,0.1443 ± 0.0067,0.4117 ± 0.0219,0.7454 ± 0.0300,0.8599 ± 0.0169,0.6830 ± 0.0174,https://deu01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fdocs.google.com%2Fdocument%2Fd%2F1bwf4dckzznWy4DbNXrNxB_jbWFAwRAGa%2Fedit%3Fusp%3Ddrive_link%26ouid%3D100007225775794272332%26rtpof%3Dtrue%26sd%3Dtrue&data=05%7C02%7CLaetitia.Breuil%40evotec.com%7C6adc287ff3c74acba6d008de56a9a9f2%7C3047e55219ba4ca2a020799287660985%7C0%7C0%7C639043483862053326%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=W%2BY9Rq8RyDV5P2u3sO5%2Bi1CT1Tlwlv5tA0qHU%2BkppM0%3D&reserved=0
31,combo,0.1443 ± 0.0067,0.4117 ± 0.0219,0.7454 ± 0.0300,0.8599 ± 0.0169,0.6830 ± 0.0174,https://docs.google.com/document/d/1oWa1P6HHcntg8GSvAhLG8e576mYATK3HwOhCsVihWx8/edit?usp=drivesdk
32,Universal15,0.1444 ± 0.0077,0.4121 ± 0.0231,0.6996 ± 0.0377,0.8420 ± 0.0210,0.6804 ± 0.0199,https://docs.google.com/document/d/1RQTj1BBOKmtHgXschFUa_ZUdz1a0juRI0eXwnnLkPZE/edit?usp=sharing
33,JacksonBurns,0.1458 ± 0.0066,0.4161 ± 0.0195,0.7413 ± 0.0250,0.8646 ± 0.0150,0.6904 ± 0.0167,https://github.com/JacksonBurns/openadmet_expansionrx/tree/f8efff6e739555337043574af3657cbe7af3e478
34,vaishnavi53,0.1463 ± 0.0076,0.4174 ± 0.0222,0.7120 ± 0.0356,0.8509 ± 0.0207,0.6871 ± 0.0195,https://docs.google.com/document/d/1LGw0CJGVm1hCqLDEkIms7YXPMnHH3LADeEmcWn5xwtI/edit?usp=sharing
35,Shorku,0.1465 ± 0.0066,0.4178 ± 0.0186,0.7442 ± 0.0266,0.8790 ± 0.0161,0.7142 ± 0.0166,https://github.com/Shorku/OpenADMET_ExpansionRx_Blind_Challenge
36,Mlzzzzz,0.1473 ± 0.0068,0.4203 ± 0.0202,0.7237 ± 0.0279,0.8501 ± 0.0177,0.6757 ± 0.0178,https://docs.google.com/document/d/1NsDLCBnDzkOVd4bWe7iVAiZ3y-4PUTF3DdlDlJy7j3o/edit?tab=t.0
37,chundu05,0.1478 ± 0.0065,0.4216 ± 0.0212,0.7419 ± 0.0313,0.8635 ± 0.0180,0.6904 ± 0.0170,https://docs.google.com/document/d/1DMiIxDK20FzTZgmBoZsy_FQw0iJGHhZYAhiNAc_SV_Q/edit?tab=t.0#heading=h.s2yx44dt2a2z
38,median3,0.1481 ± 0.0067,0.4226 ± 0.0203,0.7352 ± 0.0259,0.8546 ± 0.0159,0.6746 ± 0.0172,https://docs.google.com/document/d/1TC8rbtKGD0wOh3CmvKCnoz_Lkflniip9-4IgKkBPOY8/edit?usp=sharing
39,wikke69,0.1484 ± 0.0068,0.4235 ± 0.0198,0.7328 ± 0.0284,0.8688 ± 0.0180,0.7008 ± 0.0177,https://gist.github.com/dehaenw/1318d2265db7ab2744306a7b26e1c535
40,rappleton,0.1491 ± 0.0065,0.4254 ± 0.0176,0.7390 ± 0.0253,0.8796 ± 0.0165,0.7175 ± 0.0169,https://github.com/R-applet/ADMET_Challenge_2025/tree/main
41,lifaen,0.1515 ± 0.0067,0.4323 ± 0.0204,0.7243 ± 0.0270,0.8575 ± 0.0158,0.6818 ± 0.0170,https://docs.google.com/document/d/1ng3NAEPVjCxvTXzGQfE4bCtfqj0Tms-Zkxr3YyfHBZA/edit?usp=sharing
42,beetroot,0.1518 ± 0.0076,0.4330 ± 0.0231,0.6880 ± 0.0336,0.8321 ± 0.0196,0.6610 ± 0.0195,https://docs.google.com/document/d/e/2PACX-1vTcBMF2uEAu1POdvZKpA0fHCtvk1JlsolEZQgFZeOxzctH1jILjzsI2uZJL2uL9EZCwdyQ2MsQIJBfy/pub
43,crh201,0.1518 ± 0.0076,0.4330 ± 0.0231,0.6880 ± 0.0336,0.8321 ± 0.0196,0.6610 ± 0.0195,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
44,leeherman,0.1551 ± 0.0077,0.4426 ± 0.0229,0.6900 ± 0.0331,0.8311 ± 0.0207,0.6586 ± 0.0201,https://docs.google.com/document/d/1_VPsW3p-zKztMqxTWbBNwhddvkqRS3ZWLmfO04nU9Lw/edit?usp=sharing
45,aglisman,0.1565 ± 0.0071,0.4464 ± 0.0219,0.7003 ± 0.0301,0.8719 ± 0.0172,0.7052 ± 0.0170,https://github.com/alec-glisman/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/MODEL_CARD.md
46,jeremy,0.1579 ± 0.0074,0.4506 ± 0.0229,0.6829 ± 0.0326,0.8304 ± 0.0200,0.6573 ± 0.0199,https://github.com/jeremycheminf/openadmet_scripts/tree/main
47,rez3vil,0.1591 ± 0.0075,0.4540 ± 0.0231,0.6902 ± 0.0299,0.8218 ± 0.0189,0.6425 ± 0.0199,https://github.com/rez3vil/OpenADMET-ExpansionRx-Challenge.git
48,DMakarov,0.1595 ± 0.0079,0.4551 ± 0.0237,0.6540 ± 0.0380,0.8152 ± 0.0217,0.6478 ± 0.0212,https://github.com/MDMISC/OpenADMET
49,okidoki,0.1597 ± 0.0071,0.4558 ± 0.0218,0.7009 ± 0.0285,0.8724 ± 0.0148,0.6987 ± 0.0163,https://docs.google.com/document/d/1yD6ZppdthvohCvc1fYvUi57Jsxu1XS5nuRYwHEGblp4/edit?tab=t.0
50,tmp1234,0.1614 ± 0.0069,0.4606 ± 0.0210,0.7004 ± 0.0301,0.8449 ± 0.0189,0.6709 ± 0.0186,https://docs.google.com/document/d/e/2PACX-1vQ1OAnGO4ZvVFwiiSUmFvaBfk8Hjetun_yDboslS6-p0GglV3vAgV1gZ1fJT0g1PtRlXcuS50kodogE/pub
51,vibdsobeyens,0.1623 ± 0.0078,0.4632 ± 0.0255,0.6550 ± 0.0352,0.8201 ± 0.0199,0.6445 ± 0.0196,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?tab=t.0#heading=h.6pqvt9f1ijp7
52,riemann,0.1626 ± 0.0066,0.4640 ± 0.0207,0.7044 ± 0.0310,0.8464 ± 0.0184,0.6628 ± 0.0170,https://docs.google.com/document/d/1N_huCHcjGN2OpioMyZBE3Pi5LRhVJoG2t3CFkqIHy50/edit?usp=sharing
53,ZaZdrowie,0.1627 ± 0.0068,0.4642 ± 0.0206,0.7010 ± 0.0272,0.8359 ± 0.0176,0.6508 ± 0.0182,https://gist.github.com/vchupakhinslp/4eac9f483b2b55168ed4f0d10d92455c
