final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
1,shin-chan,0.1410 ± 0.0122,0.3727 ± 0.0318,0.7285 ± 0.0596,0.8423 ± 0.0307,0.6865 ± 0.0298,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
2,temal,0.1460 ± 0.0115,0.3859 ± 0.0296,0.7371 ± 0.0489,0.8553 ± 0.0274,0.6949 ± 0.0281,https://docs.google.com/document/d/1IqyTGGB2FLgYpptyst0XdTmZCHMETdX3/edit?usp=sharing&ouid=109801295390196144877&rtpof=true&sd=true
3,pebble,0.1471 ± 0.0119,0.3887 ± 0.0315,0.7302 ± 0.0534,0.8518 ± 0.0271,0.6971 ± 0.0283,https://docs.google.com/document/d/11YF4Izk_XffIvXf1LahnTICKf8rbdv9mcYl42-7yt8A/edit?usp=sharing
4,campfire-capillary,0.1475 ± 0.0124,0.3897 ± 0.0328,0.7195 ± 0.0597,0.8430 ± 0.0306,0.6865 ± 0.0296,https://github.com/campfire-capillary/OpenADMETExpansionRx/blob/main/README.md
5,moka,0.1479 ± 0.0124,0.3908 ± 0.0330,0.7057 ± 0.0583,0.8342 ± 0.0332,0.6802 ± 0.0305,https://github.com/dahvida/openadmet-expansionrx-blind-challenge-moka
6,HybridADMET,0.1486 ± 0.0140,0.3925 ± 0.0353,0.6628 ± 0.0745,0.8174 ± 0.0364,0.6678 ± 0.0327,https://docs.google.com/document/d/1WD2EVaud7UFCZk5qOZ1_sV_UcGgjlQXkSivTRppDq9Q/edit?usp=sharing
7,yanyn,0.1495 ± 0.0117,0.3950 ± 0.0297,0.7249 ± 0.0544,0.8458 ± 0.0297,0.6925 ± 0.0294,https://github.com/yan-notes/openadmet_submit_yan
8,c-test,0.1508 ± 0.0116,0.3985 ± 0.0298,0.7255 ± 0.0538,0.8475 ± 0.0295,0.6941 ± 0.0292,https://docs.google.com/document/d/1-JpjWNB5aB2ShLqFGz7Yhf7g-lrMqXV3PHoufH3tho8/edit?tab=t.0
9,Proper,0.1539 ± 0.0133,0.4067 ± 0.0340,0.6727 ± 0.0675,0.8131 ± 0.0370,0.6641 ± 0.0330,https://docs.google.com/document/d/103DSkl24b98QG8McQmDVck-3n66LbIPml6r8ND_NldM/edit?usp=sharing
10,aglisman,0.1544 ± 0.0126,0.4079 ± 0.0327,0.6997 ± 0.0610,0.8207 ± 0.0339,0.6644 ± 0.0321,https://github.com/alec-glisman/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/MODEL_CARD.md
11,Hydra,0.1564 ± 0.0152,0.4132 ± 0.0392,0.6123 ± 0.0846,0.7937 ± 0.0410,0.6522 ± 0.0352,https://docs.google.com/document/d/1Jbr7aBBScvanrqfzYsnE1m-a3fJxgv_BIcfDQWls6BQ/edit?usp=sharing
12,echo,0.1573 ± 0.0126,0.4159 ± 0.0339,0.6910 ± 0.0581,0.8388 ± 0.0322,0.6892 ± 0.0306,https://docs.google.com/document/d/1nUIr9-EZc401HPdzErG6YnzW3BVy7I2CHUXqaIELLaY/edit?usp=sharing
13,rced_nvx,0.1578 ± 0.0127,0.4168 ± 0.0321,0.6918 ± 0.0579,0.8195 ± 0.0345,0.6645 ± 0.0321,https://github.com/cedenoruel/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/README.md
