final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
1,moka,0.3054 ± 0.0070,0.7234 ± 0.0192,0.4860 ± 0.0272,0.6853 ± 0.0173,0.4974 ± 0.0148,https://github.com/dahvida/openadmet-expansionrx-blind-challenge-moka
2,overfit,0.3178 ± 0.0069,0.7528 ± 0.0189,0.4513 ± 0.0272,0.6519 ± 0.0182,0.4704 ± 0.0151,https://docs.google.com/document/d/16QIFGZRlQbZGRnP7PKODNLCRiq029fDoMiEiVFF03hE/edit?usp=sharing
3,pebble,0.3182 ± 0.0071,0.7538 ± 0.0196,0.4490 ± 0.0279,0.6450 ± 0.0189,0.4649 ± 0.0156,https://docs.google.com/document/d/11YF4Izk_XffIvXf1LahnTICKf8rbdv9mcYl42-7yt8A/edit?usp=sharing
4,Universal15,0.3245 ± 0.0075,0.7687 ± 0.0199,0.4148 ± 0.0286,0.6353 ± 0.0192,0.4559 ± 0.0157,https://docs.google.com/document/d/1RQTj1BBOKmtHgXschFUa_ZUdz1a0juRI0eXwnnLkPZE/edit?usp=sharing
5,temal,0.3297 ± 0.0074,0.7810 ± 0.0209,0.3923 ± 0.0329,0.6320 ± 0.0191,0.4536 ± 0.0154,https://docs.google.com/document/d/1IqyTGGB2FLgYpptyst0XdTmZCHMETdX3/edit?usp=sharing&ouid=109801295390196144877&rtpof=true&sd=true
6,campfire-capillary,0.3301 ± 0.0075,0.7818 ± 0.0196,0.3995 ± 0.0285,0.5873 ± 0.0206,0.4169 ± 0.0163,https://github.com/campfire-capillary/OpenADMETExpansionRx/blob/main/README.md
7,tibo,0.3318 ± 0.0079,0.7859 ± 0.0191,0.3816 ± 0.0266,0.5947 ± 0.0206,0.4230 ± 0.0163,https://github.com/Tibogoss/OpenADMET-ExpansionRx/blob/main/README.md
8,rced_nvx,0.3329 ± 0.0079,0.7886 ± 0.0193,0.3772 ± 0.0270,0.5907 ± 0.0208,0.4201 ± 0.0164,https://github.com/cedenoruel/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/README.md
9,beetroot,0.3348 ± 0.0072,0.7931 ± 0.0184,0.4069 ± 0.0278,0.6119 ± 0.0188,0.4337 ± 0.0150,https://docs.google.com/document/d/e/2PACX-1vTcBMF2uEAu1POdvZKpA0fHCtvk1JlsolEZQgFZeOxzctH1jILjzsI2uZJL2uL9EZCwdyQ2MsQIJBfy/pub
10,liberica,0.3355 ± 0.0078,0.7946 ± 0.0197,0.3739 ± 0.0281,0.5861 ± 0.0205,0.4163 ± 0.0161,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
11,rappleton,0.3359 ± 0.0078,0.7955 ± 0.0190,0.3669 ± 0.0309,0.5612 ± 0.0219,0.3983 ± 0.0170,https://github.com/R-applet/ADMET_Challenge_2025/tree/main
12,vaishnavi53,0.3359 ± 0.0078,0.7955 ± 0.0190,0.3669 ± 0.0309,0.5612 ± 0.0219,0.3983 ± 0.0170,https://docs.google.com/document/d/1LGw0CJGVm1hCqLDEkIms7YXPMnHH3LADeEmcWn5xwtI/edit?usp=sharing
13,aglisman,0.3369 ± 0.0076,0.7980 ± 0.0207,0.3687 ± 0.0320,0.5916 ± 0.0203,0.4209 ± 0.0160,https://github.com/alec-glisman/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/MODEL_CARD.md
14,yanyn,0.3373 ± 0.0075,0.7989 ± 0.0205,0.3811 ± 0.0324,0.5856 ± 0.0213,0.4178 ± 0.0169,https://github.com/yan-notes/openadmet_submit_yan
15,Na123,0.3387 ± 0.0076,0.8023 ± 0.0208,0.3668 ± 0.0329,0.5854 ± 0.0212,0.4171 ± 0.0168,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?usp=sharing
16,Ensem,0.3387 ± 0.0076,0.8023 ± 0.0208,0.3668 ± 0.0329,0.5854 ± 0.0212,0.4171 ± 0.0168,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?tab=t.0
17,beardy-polonium,0.3406 ± 0.0076,0.8068 ± 0.0202,0.3675 ± 0.0308,0.5819 ± 0.0207,0.4115 ± 0.0163,https://drive.google.com/file/d/163hHzi_YIoM26sEFSTQ3Wo-2MzInuHeM/view?usp=drive_link
18,HybridADMET,0.3411 ± 0.0077,0.8079 ± 0.0204,0.3637 ± 0.0328,0.5888 ± 0.0213,0.4184 ± 0.0167,https://docs.google.com/document/d/1WD2EVaud7UFCZk5qOZ1_sV_UcGgjlQXkSivTRppDq9Q/edit?usp=sharing
19,ZaZdrowie,0.3419 ± 0.0079,0.8098 ± 0.0213,0.3628 ± 0.0320,0.6038 ± 0.0196,0.4263 ± 0.0157,https://gist.github.com/vchupakhinslp/4eac9f483b2b55168ed4f0d10d92455c
20,Artichoke,0.3422 ± 0.0078,0.8105 ± 0.0191,0.3561 ± 0.0295,0.5735 ± 0.0210,0.4030 ± 0.0163,https://docs.google.com/document/d/1Mbw0uKDZsQ8QAnQO5uBAdS8x3Z-UTfMhP1fqx2pqTD8/edit?usp=sharing
