final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
1,campfire-capillary,0.1451 ± 0.0057,0.4524 ± 0.0233,0.7589 ± 0.0245,0.8609 ± 0.0153,0.6797 ± 0.0171,https://github.com/campfire-capillary/OpenADMETExpansionRx/blob/main/README.md
2,shin-chan,0.1518 ± 0.0055,0.4733 ± 0.0220,0.7551 ± 0.0206,0.8566 ± 0.0140,0.6714 ± 0.0165,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
3,Hydra,0.1572 ± 0.0065,0.4902 ± 0.0243,0.7046 ± 0.0289,0.8376 ± 0.0183,0.6614 ± 0.0196,https://docs.google.com/document/d/1Jbr7aBBScvanrqfzYsnE1m-a3fJxgv_BIcfDQWls6BQ/edit?usp=sharing
4,pebble,0.1580 ± 0.0064,0.4927 ± 0.0247,0.7054 ± 0.0281,0.8486 ± 0.0159,0.6703 ± 0.0179,https://docs.google.com/document/d/11YF4Izk_XffIvXf1LahnTICKf8rbdv9mcYl42-7yt8A/edit?usp=sharing
5,overfit,0.1584 ± 0.0056,0.4939 ± 0.0239,0.7403 ± 0.0232,0.8644 ± 0.0142,0.6831 ± 0.0164,https://docs.google.com/document/d/16QIFGZRlQbZGRnP7PKODNLCRiq029fDoMiEiVFF03hE/edit?usp=sharing
6,interstellar-explorer,0.1587 ± 0.0065,0.4947 ± 0.0244,0.7026 ± 0.0295,0.8340 ± 0.0184,0.6557 ± 0.0195,https://docs.google.com/document/d/1cplc30gDCRcweL39KcN27ANOYPi9sZD_tAtfnMwgoeU/edit?usp=sharing
7,arabica,0.1590 ± 0.0056,0.4955 ± 0.0207,0.7389 ± 0.0195,0.8649 ± 0.0134,0.6806 ± 0.0159,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
8,moka,0.1605 ± 0.0062,0.5005 ± 0.0234,0.7197 ± 0.0245,0.8462 ± 0.0163,0.6626 ± 0.0180,https://github.com/dahvida/openadmet-expansionrx-blind-challenge-moka
9,liberica,0.1630 ± 0.0058,0.5082 ± 0.0208,0.7245 ± 0.0204,0.8495 ± 0.0148,0.6626 ± 0.0167,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
10,beardy-polonium,0.1633 ± 0.0065,0.5090 ± 0.0249,0.7010 ± 0.0273,0.8439 ± 0.0173,0.6659 ± 0.0190,https://drive.google.com/file/d/163hHzi_YIoM26sEFSTQ3Wo-2MzInuHeM/view?usp=drive_link
11,HybridADMET,0.1668 ± 0.0065,0.5201 ± 0.0242,0.6907 ± 0.0266,0.8223 ± 0.0175,0.6356 ± 0.0190,https://docs.google.com/document/d/1WD2EVaud7UFCZk5qOZ1_sV_UcGgjlQXkSivTRppDq9Q/edit?usp=sharing
12,temal,0.1676 ± 0.0065,0.5226 ± 0.0256,0.6850 ± 0.0301,0.8266 ± 0.0188,0.6460 ± 0.0196,https://docs.google.com/document/d/1IqyTGGB2FLgYpptyst0XdTmZCHMETdX3/edit?usp=sharing&ouid=109801295390196144877&rtpof=true&sd=true
