final rank,initial rank,user,CLD,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
1,1,pebble,a,0.2242 ± 0.0025,0.5113 ± 0.0070,0.6372 ± 0.0102,0.7932 ± 0.0058,0.6207 ± 0.0056,https://docs.google.com/document/d/11YF4Izk_XffIvXf1LahnTICKf8rbdv9mcYl42-7yt8A/edit?usp=sharing
2,3,overfit,b,0.2344 ± 0.0026,0.5284 ± 0.0070,0.6414 ± 0.0100,0.7881 ± 0.0060,0.6082 ± 0.0058,https://docs.google.com/document/d/16QIFGZRlQbZGRnP7PKODNLCRiq029fDoMiEiVFF03hE/edit?usp=sharing
3,5,moka,c,0.2331 ± 0.0025,0.5321 ± 0.0070,0.6253 ± 0.0103,0.7912 ± 0.0062,0.6169 ± 0.0058,https://github.com/dahvida/openadmet-expansionrx-blind-challenge-moka
4,2,campfire-capillary,d,0.2431 ± 0.0026,0.5517 ± 0.0069,0.5962 ± 0.0103,0.7555 ± 0.0064,0.5818 ± 0.0059,https://github.com/campfire-capillary/OpenADMETExpansionRx/blob/main/README.md
5,4,shin-chan,e,0.2432 ± 0.0026,0.5536 ± 0.0073,0.5902 ± 0.0111,0.7686 ± 0.0063,0.5941 ± 0.0058,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
6,11,HybridADMET,f,0.2454 ± 0.0028,0.5582 ± 0.0072,0.5778 ± 0.0118,0.7590 ± 0.0067,0.5848 ± 0.0062,https://docs.google.com/document/d/1WD2EVaud7UFCZk5qOZ1_sV_UcGgjlQXkSivTRppDq9Q/edit?usp=sharing
7,7,rced_nvx,g,0.2482 ± 0.0027,0.5663 ± 0.0073,0.5786 ± 0.0108,0.7465 ± 0.0069,0.5725 ± 0.0062,https://github.com/cedenoruel/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/README.md
8,8,tibo,g,0.2485 ± 0.0027,0.5672 ± 0.0073,0.5787 ± 0.0107,0.7491 ± 0.0067,0.5742 ± 0.0061,https://github.com/Tibogoss/OpenADMET-ExpansionRx/blob/main/README.md
9,6,beetroot,h,0.2509 ± 0.0027,0.5726 ± 0.0075,0.5721 ± 0.0116,0.7441 ± 0.0071,0.5673 ± 0.0063,https://docs.google.com/document/d/e/2PACX-1vTcBMF2uEAu1POdvZKpA0fHCtvk1JlsolEZQgFZeOxzctH1jILjzsI2uZJL2uL9EZCwdyQ2MsQIJBfy/pub
10,25,temal,i,0.2562 ± 0.0027,0.5809 ± 0.0074,0.5514 ± 0.0108,0.7649 ± 0.0061,0.5881 ± 0.0058,https://docs.google.com/document/d/1IqyTGGB2FLgYpptyst0XdTmZCHMETdX3/edit?usp=sharing&ouid=109801295390196144877&rtpof=true&sd=true
