model,endpoint,RAE,rank,n_finalists
ECFP4,LogD,0.7572582534257383,95,103
ECFP4,KSOL,0.7944523763216127,86,103
ECFP4,HLM CLint,0.9320991107319024,86,103
ECFP4,MLM CLint,0.8978657324583714,63,103
ECFP4,Caco-2 Permeability Papp A>B,1.008406375611585,94,103
ECFP4,Caco-2 Permeability Efflux,0.8837666074745609,91,103
ECFP4,MPPB,0.8710016295932237,83,103
ECFP4,MBPB,0.6383116688215642,88,103
ECFP4,MGMB,0.6035302208054313,80,103
ECFP4,MA-RAE (aggregate),0.8207435528048879,90,103
RDKit2D,LogD,0.7240064490122544,93,103
RDKit2D,KSOL,0.9164645398822108,98,103
RDKit2D,HLM CLint,0.8685254129431617,75,103
RDKit2D,MLM CLint,0.9400940474489952,81,103
RDKit2D,Caco-2 Permeability Papp A>B,0.8710184780525465,81,103
RDKit2D,Caco-2 Permeability Efflux,0.8185060362076546,76,103
RDKit2D,MPPB,0.9173542230737513,92,103
RDKit2D,MBPB,0.6344452883675857,88,103
RDKit2D,MGMB,0.6715193008308479,94,103
RDKit2D,MA-RAE (aggregate),0.8179926417576676,90,103
MoLFormer,LogD,0.8470635380772583,99,103
MoLFormer,KSOL,0.9270285911923064,98,103
MoLFormer,HLM CLint,0.9794366455433536,89,103
MoLFormer,MLM CLint,0.9035584577297928,67,103
MoLFormer,Caco-2 Permeability Papp A>B,1.1117963733899714,99,103
MoLFormer,Caco-2 Permeability Efflux,0.9661676989567662,96,103
MoLFormer,MPPB,1.007079467688572,96,103
MoLFormer,MBPB,0.763062436609766,96,103
MoLFormer,MGMB,0.7293382298755441,97,103
MoLFormer,MA-RAE (aggregate),0.9149479376737033,96,103
POTS,LogD,0.9319575647125762,99,103
POTS,KSOL,0.8251890579024949,90,103
POTS,HLM CLint,1.0893038383896498,95,103
POTS,MLM CLint,0.941874861188863,81,103
POTS,Caco-2 Permeability Papp A>B,0.9212690123909232,87,103
POTS,Caco-2 Permeability Efflux,0.9608504078862844,96,103
POTS,MPPB,0.881823157232991,84,103
POTS,MBPB,0.7140667219856441,92,103
POTS,MGMB,0.6282154051694387,84,103
POTS,MA-RAE (aggregate),0.8771722252065406,93,103
ECFP+POTS,LogD,0.7494003778894738,95,103
ECFP+POTS,KSOL,0.813290450586103,87,103
ECFP+POTS,HLM CLint,0.9986029192810844,92,103
ECFP+POTS,MLM CLint,0.8852036717440065,60,103
ECFP+POTS,Caco-2 Permeability Papp A>B,0.9344456611654685,89,103
ECFP+POTS,Caco-2 Permeability Efflux,0.9370216943232078,94,103
ECFP+POTS,MPPB,0.8660553289438656,82,103
ECFP+POTS,MBPB,0.6584341760572497,89,103
ECFP+POTS,MGMB,0.5723956240804743,71,103
ECFP+POTS,MA-RAE (aggregate),0.8238722115634372,90,103
