rank,username,user_alias,anonymous,submitted_at,model_report_link,MAE_mean,MAE_std,RAE_mean,RAE_std,R2_mean,R2_std,Spearman_R_mean,Spearman_R_std,Kendall's_Tau_mean,Kendall's_Tau_std
1,chemprop_enjoyer,,False,2025-04-03 09:14:22+00:00,,0.31,0.02,0.45,0.03,0.87,0.02,0.91,0.02,0.76,0.03
2,molbert_labs,,False,2025-04-05 14:37:08+00:00,,0.42,0.03,0.61,0.04,0.82,0.02,0.87,0.02,0.71,0.03
3,grover_waves,,False,2025-04-07 11:02:45+00:00,,0.55,0.03,0.80,0.04,0.76,0.03,0.83,0.02,0.66,0.03
4,rdkit_wizard,,False,2025-04-10 16:55:31+00:00,,0.61,0.03,0.89,0.05,0.71,0.03,0.79,0.02,0.62,0.03
5,schnet_forever,,False,2025-04-14 08:29:17+00:00,,0.68,0.04,0.99,0.05,0.65,0.03,0.74,0.03,0.57,0.03
6,fingerprint_fan,,False,2025-04-18 13:44:59+00:00,,0.74,0.04,1.08,0.06,0.60,0.03,0.69,0.03,0.52,0.03
7,dmpnn_user,,False,2025-04-22 10:11:03+00:00,,0.83,0.04,1.21,0.06,0.54,0.03,0.63,0.03,0.46,0.03
8,xgboost_believer,,False,2025-04-27 15:08:44+00:00,,0.91,0.05,1.32,0.07,0.47,0.04,0.57,0.03,0.40,0.03
9,random_forest_42,,False,2025-05-01 09:33:27+00:00,,1.02,0.05,1.48,0.07,0.39,0.04,0.49,0.03,0.33,0.03
10,linear_baseline,,False,2025-05-03 17:21:56+00:00,,1.18,0.06,1.71,0.08,0.28,0.04,0.38,0.03,0.24,0.03
