Run date,Cycle number,Protein concentration (μg/mL),Channel,Sample type,ASAP IDs,OpenBind IDs,SMILES,Sample concentration (M),ka (M-1s-1),ka error (%),kd (s-1),kd error (%),KD (M),Rmax (pg/mm2),Sqrt(Chi2) (pg/mm2),Used in analysis
18/03/2026,9,20.0,Ch 2-1,Control,ASAP-0035404-002,OB-00005392-002-001,CSc1ccc(Br)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,5e-06,119319.0,3.33851,0.165937,1.86198,1.39e-06,21.7658,0.359307,False
18/03/2026,9,20.0,Ch 3-1,Control,ASAP-0035404-002,OB-00005392-002-001,CSc1ccc(Br)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,5e-06,114917.0,3.25458,0.168087,1.76847,1.46e-06,27.7415,0.43969,False
18/03/2026,9,20.0,Ch 4-1,Control,ASAP-0035404-002,OB-00005392-002-001,CSc1ccc(Br)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,5e-06,118669.0,4.04476,0.158514,2.30591,1.34e-06,24.0577,0.510832,False
18/03/2026,11,20.0,Ch 2-1,Sample,ASAP-0025003-002,OB-00003892-001-001,CC(=O)Nc1ccc(C(=O)[C@H](C)Cl)cc1 |&1:10|,2.5e-05,16674.8,88.3645,0.515096,28.6482,3.09e-05,0.5908,0.0830863,True
18/03/2026,11,20.0,Ch 3-1,Sample,ASAP-0025003-002,OB-00003892-001-001,CC(=O)Nc1ccc(C(=O)[C@H](C)Cl)cc1 |&1:10|,2.5e-05,15727.8,147.342,0.383456,45.3126,2.44e-05,0.347462,0.136992,False
18/03/2026,11,20.0,Ch 4-1,Sample,ASAP-0025003-002,OB-00003892-001-001,CC(=O)Nc1ccc(C(=O)[C@H](C)Cl)cc1 |&1:10|,2.5e-05,33387.3,24.6201,1.43564,8.46629,4.3e-05,1.58473,0.0737034,True
18/03/2026,12,20.0,Ch 2-1,Sample,ASAP-0038213-001,OB-00005900-002-001,"CSc1ccccc1CC(=O)N1C[C@H](C(N)=O)C[C@H]2C[C@H]21 |o1:13,18,20|",2.5e-06,219353.0,4.05392,0.107056,3.21177,4.88e-07,20.478,0.459481,True
18/03/2026,12,20.0,Ch 3-1,Sample,ASAP-0038213-001,OB-00005900-002-001,"CSc1ccccc1CC(=O)N1C[C@H](C(N)=O)C[C@H]2C[C@H]21 |o1:13,18,20|",2.5e-06,222249.0,3.91979,0.109364,3.05949,4.92e-07,25.6559,0.571477,True
18/03/2026,12,20.0,Ch 4-1,Sample,ASAP-0038213-001,OB-00005900-002-001,"CSc1ccccc1CC(=O)N1C[C@H](C(N)=O)C[C@H]2C[C@H]21 |o1:13,18,20|",2.5e-06,229611.0,4.25803,0.109831,3.30172,4.78e-07,22.6901,0.565893,True
18/03/2026,13,20.0,Ch 2-1,Sample,ASAP-0038744-001,OB-00006061-001-001,CSc1ccc(OC2CC2)cc1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:19|,2.5e-05,29185.5,6.7486,0.574575,3.15402,1.97e-05,16.7436,0.593829,True
18/03/2026,13,20.0,Ch 3-1,Sample,ASAP-0038744-001,OB-00006061-001-001,CSc1ccc(OC2CC2)cc1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:19|,2.5e-05,26118.1,6.22071,0.596475,2.66638,2.28e-05,23.3362,0.656536,True
18/03/2026,13,20.0,Ch 4-1,Sample,ASAP-0038744-001,OB-00006061-001-001,CSc1ccc(OC2CC2)cc1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:19|,2.5e-05,28820.3,6.09162,0.6084,2.829,2.11e-05,20.0377,0.586873,True
18/03/2026,14,20.0,Ch 2-1,Sample,ASAP-0038783-001,OB-00006137-001-001,Cc1ccc2cccnc2c1OC(=O)N1CCC[C@H](C(N)=O)C1 |a:18|,2.5e-05,54655.0,12.3224,1.36227,6.36375,2.49e-05,16.8435,0.836972,True
18/03/2026,14,20.0,Ch 3-1,Sample,ASAP-0038783-001,OB-00006137-001-001,Cc1ccc2cccnc2c1OC(=O)N1CCC[C@H](C(N)=O)C1 |a:18|,2.5e-05,56107.3,11.1554,1.41051,5.73411,2.51e-05,21.8916,0.929303,True
18/03/2026,14,20.0,Ch 4-1,Sample,ASAP-0038783-001,OB-00006137-001-001,Cc1ccc2cccnc2c1OC(=O)N1CCC[C@H](C(N)=O)C1 |a:18|,2.5e-05,57280.9,10.8273,1.47511,5.63361,2.58e-05,20.8215,0.832226,True
18/03/2026,15,20.0,Ch 2-1,Sample,ASAP-0039217-001,OB-00006199-001-001,CSc1ccc(-n2cccn2)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:20|,5e-06,147974.0,3.51158,0.13705,2.43202,9.26e-07,26.3373,0.611418,True
18/03/2026,15,20.0,Ch 3-1,Sample,ASAP-0039217-001,OB-00006199-001-001,CSc1ccc(-n2cccn2)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:20|,5e-06,146397.0,3.47607,0.145669,2.28849,9.95e-07,33.4168,0.730624,True
18/03/2026,15,20.0,Ch 4-1,Sample,ASAP-0039217-001,OB-00006199-001-001,CSc1ccc(-n2cccn2)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:20|,5e-06,151264.0,3.77192,0.145353,2.48337,9.61e-07,29.565,0.720929,True
18/03/2026,19,20.0,Ch 2-1,Sample,ASAP-0039757-001,OB-00006295-001-001,"CSc1ccc(Br)cc1OC(=O)N1C[C@H](C(N)=O)C[C@@H]2C[C@@H]21 |&1:14,19,21|",3e-06,73821.4,7.21937,0.0503235,6.19086,6.82e-07,19.2848,0.556066,True
18/03/2026,19,20.0,Ch 3-1,Sample,ASAP-0039757-001,OB-00006295-001-001,"CSc1ccc(Br)cc1OC(=O)N1C[C@H](C(N)=O)C[C@@H]2C[C@@H]21 |&1:14,19,21|",3e-06,67492.4,8.56101,0.053656,6.85706,7.95e-07,25.337,0.753805,True
18/03/2026,19,20.0,Ch 4-1,Sample,ASAP-0039757-001,OB-00006295-001-001,"CSc1ccc(Br)cc1OC(=O)N1C[C@H](C(N)=O)C[C@@H]2C[C@@H]21 |&1:14,19,21|",3e-06,73183.5,8.15013,0.0531081,6.9999,7.26e-07,21.5995,0.657585,True
18/03/2026,20,20.0,Ch 2-1,Sample,ASAP-0041772-001,OB-00006485-001-001,"CSc1ccc(Br)cc1OC(=O)N1C[C@H](C(N)=O)C[C@H]2C[C@H]21 |&1:14,19,21|",2.5e-06,54753.2,6.42945,0.0207493,4.06037,3.79e-07,35.9956,0.975121,True
18/03/2026,20,20.0,Ch 3-1,Sample,ASAP-0041772-001,OB-00006485-001-001,"CSc1ccc(Br)cc1OC(=O)N1C[C@H](C(N)=O)C[C@H]2C[C@H]21 |&1:14,19,21|",2.5e-06,52673.5,7.50371,0.021952,4.49923,4.17e-07,46.241,1.24605,True
