SMILES,pKD
C#C[C@H](NCCc1cocn1)c1nn(C)c2ccccc12,4.716801953096995
C#C[C@H]1CCCC[C@@H]1OC(=O)N1CCC[C@H](C(N)=O)C1,4.011869615687259
C#Cc1ccc(C)c(OC(=O)N2CCC[C@H](C(N)=O)C2)c1,3.8964015060220625
C=C(C)c1cccc(SC)c1CC(=O)N1CCC[C@H](C(N)=O)C1,5.435913722030655
C=CS(=O)(=O)N1CCC[C@H](C(N)=O)C1,5.1938200260161125
C=Cc1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)n1,5.099072631333438
C=Cc1ccccc1CS(=O)(=O)N1CCC[C@H](C(N)=O)C1,4.5951662833800615
CC(=O)N1CCc2cc(C(=O)[C@H](C)Cl)ccc21,5.151407131646511
CC(=O)Nc1ccc(C(=O)[C@H](C)Cl)cc1,4.180676299350614
CC(=O)Nc1cccc(NC(N)=O)c1,4.943095148663527
CC(=O)Nc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1,4.265200170411153
CC(C)(C)c1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,4.916961547867879
CC(C)Oc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,4.877787213913532
CC(C)[C@H](c1cc(Cl)cc(Br)c1)N1C[C@H](C(N)=O)CCC1=O,4.564352412519983
CCC(=O)N[C@H](C(=O)N1CC[C@H](C(N)=O)C1)c1ccccc1SC,4.556507378095548
CCC1(CC)CCN(c2ncnc(SC)c2CC(=O)N2CCC[C@H](C(N)=O)C2)C1,6.266038858073333
CCC1(CC)CN(c2ncnc(SC)c2CC(=O)N2CCC[C@H](C(N)=O)C2)CCS1(=O)=O,6.0703717346625785
CCCSc1cccc(OC)c1NC(=O)N1CCC[C@H](C(N)=O)C1,3.79526753551538
CCN(CC1CC1)C(=O)c1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c1,4.908336601699183
CCN(c1ncnc(SC)c1CC(=O)N1CCC[C@H](C(N)=O)C1)C(C)C,5.941351132986486
CCOC(=O)N[C@H](C(=O)N1CC[C@H](C(N)=O)C1)c1ccccc1SC,4.606251898190906
CCS(=O)(=O)N1CCN(c2ncnc(SC)c2CC(=O)N2CCC[C@H](C(N)=O)C2)[C@H](C)C1,5.887521899626527
CCS(=O)(=O)c1ccc(OC)c(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,4.09366495819491
CC[C@@H]1CCCN1c1ncnc(SC)c1CC(=O)N1CCC[C@H](C(N)=O)C1,5.359471394334077
CC[C@@H]1CS[C@H](C(N)=O)CN1C(=O)Oc1cc(Br)ccc1SC,4.170150986564742
CC[C@H](c1cc(F)cc(Br)c1)N1C[C@H](C(N)=O)CCC1=O,4.7121982700697735
CC[C@H](c1ccc(Cl)c(Cl)c1)N1C[C@H](C(N)=O)CCC1=O,4.012372581165862
CC[C@H]1CCCN1c1ncnc(SC)c1CC(=O)N1CCC[C@H](C(N)=O)C1,7.302627133357621
CC[C@H]1CS[C@H](C(N)=O)CN1C(=O)Oc1cc(Br)ccc1SC,7.112683897314732
CCc1ccsc1CN1C[C@H](C(N)=O)CCC1=O,4.668737062060432
CCn1nccc1C(=O)N[C@H](C(=O)N1CC[C@H](C(N)=O)C1)c1ccccc1SC,4.197688573451602
CN(C)C(=O)[C@@H](c1ccccc1)N1C[C@H](C(N)=O)CC1=O,4.003097753980533
CN(C)S(=O)(=O)c1cccnc1,5.10745472442027
CN1c2ccccc2C[C@H]1C(=O)N1CCC[C@H](C(N)=O)C1,4.598941671349912
CNC(=O)[C@@H](c1cccc(C)c1)N1C[C@H](C(N)=O)CC1=O,4.5968794788241825
CNC(=O)[C@@H]1CCN1c1ncnc(SC)c1CC(=O)N1CCC[C@H](C(N)=O)C1,5.553061207453266
CNC(=O)c1cn(C)c2ccccc12,4.822826736702125
CNC(=O)c1nn(C)c2ccccc12,5.376184576266073
CNC(=O)c1oc2ccccc2c1CN1C[C@H](C(N)=O)CCC1=O,4.027340564735919
