scoring 152,730 compounds over 588,356 pairs
rdkit2d (repaired) ...
multitask profile head ...
                   overall_spearman  overall_auc  scaffold_hop_spearman  scaffold_hop_auc  cliff_spearman  cliff_auc
ecfp4                         0.415        0.654                  0.258             0.604           0.030      0.493
ecfp6                         0.412        0.652                  0.249             0.597           0.037      0.490
fcfp4                         0.421        0.658                  0.267             0.609           0.037      0.501
rdkit                         0.367        0.621                  0.132             0.505           0.052      0.504
atompair                      0.399        0.635                  0.208             0.548           0.034      0.491
rdkit2d                       0.431        0.670                  0.301             0.640           0.036      0.522
usrcat                        0.243        0.570                  0.105             0.506           0.015      0.496
neighbour                     0.600        0.706                  0.597             0.721           0.137      0.508
multitask                     0.365        0.656                  0.188             0.618          -0.018      0.509
multitask_profile             0.404        0.636                  0.226             0.566           0.064      0.492
