,overall_spearman,overall_auc,scaffold_hop_spearman,scaffold_hop_auc,cliff_spearman,cliff_auc
ecfp4,0.41486094481485786,0.654008984738666,0.25822516722059574,0.6035187319170067,0.02955160692936536,0.4928355150238082
ecfp6,0.4120287985892447,0.6517608533544226,0.24916334487130856,0.597356501707155,0.03685451430759159,0.490217313305555
fcfp4,0.420823231068294,0.6576542420383907,0.26737780508684306,0.6094458858920435,0.03657193024379708,0.5007854906878793
rdkit,0.366973172472455,0.6210834860388865,0.13156342934873386,0.505225172098466,0.052280162692671155,0.5039881263707335
atompair,0.39931166746482005,0.6348321030724964,0.20783090473812066,0.5481915296256714,0.03351569654937457,0.49080702229769746
rdkit2d,0.43059416385579813,0.6704376321909432,0.3007967256333945,0.6396482053845355,0.036361621946691444,0.5220606568508181
usrcat,0.24332058481955748,0.5699410299928189,0.1045101882323684,0.5064564296979974,0.015326419068982305,0.49649087373491185
neighbour,0.6002240840827081,0.705837882108406,0.5969885790928908,0.7207358620336851,0.136803411088644,0.5083828497042822
multitask,0.3649286189816109,0.6556366930185379,0.18842929284518053,0.6181708435481935,-0.017791276972918494,0.5092265347291476
multitask_profile,0.4044856425382298,0.6356015837224549,0.22603863333096796,0.5659228639621439,0.0636073736913333,0.49230037025138873
