endpoint,n_train,n_test,ecfp4,student,ecfp4+student
asap_HLM_hlm,301,106,0.511398017448083,0.15794697649911615,0.1738026380845804
asap_KSOL_ksol,365,112,0.12600367981653837,0.18434178129474352,0.20827788939407954
asap_LogD_logd,352,126,0.30634756230947724,0.3244844287618745,0.3285766816443727
asap_MDR1-MDCKII_mdr1_mdckii,425,126,0.8182285878734625,0.7611358257298894,0.8241935919355781
asap_MLM_mlm,303,122,0.5697642142735635,0.04269321326785125,0.07637655417417176
asap_pIC50_MERS-CoV_pic50_mers_cov,901,297,0.7649149381185452,0.7328637343682978,0.7437477313158761
asap_pIC50_SARS-CoV-2_pic50_sars_cov_2,842,263,0.8308913010156354,0.807966884388837,0.8148037469789691
exprx_caco2_papp_caco2_papp,2157,1616,0.35622173167978777,0.28455542732067485,0.3603446371490244
exprx_caco_2_permeability_efflux_caco_2_permeability_efflux,2161,1616,0.44550422327953515,0.5270068709797039,0.5287685739353531
exprx_hlm_clint_hlm_clint,3759,782,0.5320231419203211,0.41724734960004567,0.4614725586123847
exprx_ksol_ksol,5128,2170,0.37685943287544343,0.39415638237094414,0.41421287392834116
exprx_logd_logd,5039,2270,0.598718423344784,0.5184396651054356,0.5473034545120788
exprx_mbpb_mbpb,975,451,0.6511287439559101,0.47305063654243484,0.5124518189939767
exprx_mgmb_mgmb,222,209,0.6892389626752261,0.6251136222964212,0.6218076503173978
exprx_mlm_clint_mlm_clint,4522,1170,0.45178692922799746,0.32116886756759316,0.39448395171977896
exprx_mppb_mppb,1302,454,0.5213754558641353,0.4086838084222745,0.41631209921318274
